Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
dg\D`AtHcHhdhYMISP@UUQGP@	[C@@](C)(C(C)(C)O)(O)c1cccc(Cl)c1	Resultados/ZINC000000000464_rank1.pdb	214.691	2.3547	-2.701	2	2	158.98	0.1648	40.46	0.4605	0.5	0.56814	0.69315	2	
fhqQbDLN``p@atyIH]DeeMEIRu@AUTHtkP@	c1(ccc(cc1)NS(=O)(=O)C)[C@@H]([C@H](C)[NH2+]C)O	Resultados/ZINC000000000465_rank1.pdb	259.349	-1.4407	-2.521	5	3	189.17	0.32183	91.39	5.4028	0.64706	0.57041	0.63634	4	
dknHBFAiRYfUnSZB`hHr@@	C(=O)([C@H](C)[NH+](C)C)c1ccccc1	Resultados/ZINC000000000467_rank1.pdb	178.254	-0.1827	-1.801	2	1	164.63	0.18605	21.51	-1.1029	0.61538	0.49239	0.57762	3	
do~LBMAiv\bbRbLrTkh@bjjHE@@	c1(cc(cc(c1)O)O)[C@@H](C[NH2+]C(C)C)O	Resultados/ZINC000000000469_rank1.pdb	212.268	-0.7745	-1.142	4	4	163.33	0.28801	77.3	-1.5797	0.6	0.47914	0.63466	4	
dmtL@@SdfVyyUjB@@@	c1(ccccc1O)C(=O)OC	Resultados/ZINC000000000490_rank1.pdb	152.149	1.2269	-1.461	3	1	119.62	0.30212	46.53	-3.8432	0.63636	0.31361	0.68024	2	
dknHBFAiRYfUnSjB`hDaY@@	[C@@H]([C@H](C)[NH+](C)C)(O)c1ccccc1	Resultados/ZINC000000000491_rank1.pdb	180.27	-0.3645	-1.072	2	2	165.73	0.18518	24.67	-0.7525	0.61538	0.51607	0.57762	3	
fbmH`@DXEXFdfYfWV}vRMYNVjjYjjfiBhZ@@	C[C@@H]1NC2=C(N(C(=O)N(C2=O)C)C[C@H]2CC=CCC2)N1	Resultados/ZINC000000000499_rank1.pdb	276.339	1.2436	-3.299	6	2	206	0.27233	64.68	-0.40808	0.5	0.38511	0.87338	2	
fb}P@@@NrRJJIQJKEKB\hvoQsTEQ@PDTDDH@	CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1	Resultados/ZINC000000000504_rank1.pdb	264.371	3.3133	-2.94	2	0	206.42	0.034396	6.48	5.5031	0.45	0.12367	0.84087	0	
fb}p@@@D]ddTTRTTVJVDyWmFcfjji`dHjDPRD@	CN1CC[N@]2[C@@H]3NC=CC=C3Cc3ccccc3[C@@H]2C1	Resultados/ZINC000000000509_rank1.pdb	267.375	1.8539	-1.401	3	1	208.33	0.089089	18.51	5.9678	0.45	0.19041	0.85521	0	
dg_BAHJ`QSbTyInY~uaZjjjeLdh@	N1(C=CN[C@H]1N(=O)=O)C[C@@H](COC)O	Resultados/ZINC000000000510_rank1.pdb	203.197	-1.3806	-0.28	7	2	153.06	0.44773	90.55	-1.4612	0.64286	0.63119	0.63466	5	
fdeIB@FBdFH@cIEEhdhhbebbg^CSMUUSMRBKb@@	c1(cc(cs1)N1C=CNC1)[C@H]1[C@@H](C)CC(=O)NN1	Resultados/ZINC000000000517_rank1.pdb	264.352	-0.4128	-3.51	5	3	195.91	0.3641	84.64	3.7591	0.61111	0.35587	0.77181	2	
fhiqA@IZBxDPRHRYg^[YYrwhHBjihXBP@	C[C@H](c1ccc(Cl)c(Cl)c1)n1[nH]c(N)cc1=O	Resultados/ZINC000000000521_rank1.pdb	272.134	0.6539	-4.456	4	2	188.1	0.2303	58.36	1.9249	0.58824	0.38653	0.77245	2	
flua@DO@}NQQISJQIXiTYHsoP@UUUTeDyIHr|`@	[N@@H+]1(CC[C@@]2(C)c3cc(ccc3C[C@@H]1[C@@H]2C)O)CC=C	Resultados/ZINC000000000523_rank1.pdb	258.384	1.0754	-3.085	2	2	216.46	0.14178	24.67	-3.429	0.57895	0.26025	0.88077	2	
fnsa`DO@dGtyHheDhhhTh[HKUhnSPQEEUUUEXhnPr@@	c1(ccc(c2c1[C@H]1CC[C@@H]2CC1)O)OC[C@@H](C[NH2+]C(C)(C)C)O	Resultados/ZINC000000000527_rank1.pdb	320.451	2.2529	-3.695	4	3	243.95	0.18012	66.3	-3.8519	0.52174	0.33774	0.84632	6	
fleqRBNRBPQhi@DAeOISrkkJ|scoUUSUMSSCD@@	N(Cc1ccc(o1)N(=O)=O)N1C[C@H](OC1=O)CSC	Resultados/ZINC000000000540_rank1.pdb	287.295	-1.069	-3.387	8	1	206.16	0.4854	125.83	-3.253	0.68421	0.61466	0.70697	6	
fleqRBNRCAAhi@DAeOYIHTileDehscoKUUUMSSBb@@	N(Cc1ccc(o1)N(=O)=O)N1[C@H](C)CS(=O)(=O)CC1	Resultados/ZINC000000000542_rank1.pdb	289.311	-1.9177	-2.465	8	1	203.26	0.43353	116.75	-2.7651	0.63158	0.63375	0.70898	4	
